ibge;microrregiao;mesorregiao;municipio;uf;lat;long;long_lat
5200050;GOIÂNIA;CENTRO GOIANO;ABADIA DE GOIÁS;GO;-16.7573;-49.4412;-49.4412 -16.7573
3100104;PATROCÍNIO;TRIÂNGULO MINEIRO/ALTO PARANAÍBA;ABADIA DOS DOURADOS;MG;-18.4831;-47.3916;-47.3916 -18.4831
5200100;ENTORNO DE BRASÍLIA;LESTE GOIANO;ABADIÂNIA;GO;-16.197;-48.7057;-48.7057 -16.197
3100203;TRÊS MARIAS;CENTRAL MINEIRA;ABAETÉ;MG;-19.1551;-45.4444;-45.4444 -19.1551
1500107;CAMETÁ;NORDESTE PARAENSE;ABAETETUBA;PA;-1.72183;-48.8788;-48.8788 -1.72183
2300101;BREJO SANTO;SUL CEARENSE;ABAIARA;CE;-7.34588;-39.0416;-39.0416 -7.34588
2900108;SEABRA;CENTRO SUL BAIANO;ABAÍRA;BA;-13.2488;-41.6619;-41.6619 -13.2488
2900207;PAULO AFONSO;VALE SÃO-FRANCISCANO DA BAHIA;ABARÉ;BA;-8.72073;-39.1162;-39.1162 -8.72073
4100103;CORNÉLIO PROCÓPIO;NORTE PIONEIRO PARANAENSE;ABATIÁ;PR;-23.3049;-50.3133;-50.3133 -23.3049
4200051;CURITIBANOS;SERRANA;ABDON BATISTA;SC;-27.6126;-51.0233;-51.0233 -27.6126
1500131;PARAGOMINAS;SUDESTE PARAENSE;ABEL FIGUEIREDO;PA;-4.95333;-48.3933;-48.3933 -4.95333
4200101;XANXERÊ;OESTE CATARINENSE;ABELARDO LUZ;SC;-26.5716;-52.3229;-52.3229 -26.5716
3100302;MANHUAÇU;ZONA DA MATA;ABRE CAMPO;MG;-20.2996;-42.4743;-42.4743 -20.2996
2600054;RECIFE;METROPOLITANA DE RECIFE;ABREU E LIMA;PE;-7.90072;-34.8984;-34.8984 -7.90072
1700251;MIRACEMA DO TOCANTINS;OCIDENTAL DO TOCANTINS;ABREULÂNDIA;TO;-9.62101;-49.1518;-49.1518 -9.62101
3100401;PONTE NOVA;ZONA DA MATA;ACAIACA;MG;-20.359;-43.1439;-43.1439 -20.359
2100055;IMPERATRIZ;OESTE MARANHENSE;AÇAILÂNDIA;MA;-4.94714;-47.5004;-47.5004 -4.94714
2900306;ALAGOINHAS;NORDESTE BAIANO;ACAJUTIBA;BA;-11.6575;-38.0197;-38.0197 -11.6575
1500206;TOMÉ-AÇU;NORDESTE PARAENSE;ACARÁ;PA;-1.95383;-48.1985;-48.1985 -1.95383
2300150;BATURITÉ;NORTE CEARENSE;ACARAPE;CE;-4.22083;-38.7055;-38.7055 -4.22083
